category,sale_date,daily_qty,rolling_30day_avg
Furniture,2011-05-31,12,13.90
Furniture,2011-06-01,31,14.60
Furniture,2011-06-02,38,15.53
Furniture,2011-06-03,32,15.97
Furniture,2011-06-04,7,15.53
Furniture,2011-06-05,9,15.60
Furniture,2011-06-06,14,15.07
Furniture,2011-06-07,29,15.50
Furniture,2011-06-08,13,15.10
Furniture,2011-06-09,40,16.20
Furniture,2011-06-10,18,16.70
Furniture,2011-06-11,18,16.73
Furniture,2011-06-12,4,16.37
Furniture,2011-06-13,46,17.37
Furniture,2011-06-14,31,17.47
Furniture,2011-06-15,29,18.03
Furniture,2011-06-16,19,18.23
Furniture,2011-06-17,35,19.23
Furniture,2011-06-18,25,20.03
Furniture,2011-06-20,30,20.13
Furniture,2011-06-21,15,20.30
Furniture,2011-06-22,59,21.83
Furniture,2011-06-23,9,21.20
Furniture,2011-06-24,22,21.70
Furniture,2011-06-25,24,22.30
Furniture,2011-06-26,2,22.10
Furniture,2011-06-27,39,23.07
Furniture,2011-06-28,30,23.27
Furniture,2011-06-29,14,23.63
Furniture,2011-06-30,15,23.63
Furniture,2011-07-01,14,23.70
Furniture,2011-07-04,3,22.77
Furniture,2011-07-05,13,21.93
Furniture,2011-07-06,11,21.23
Furniture,2011-07-07,11,21.37
Furniture,2011-07-08,6,21.27
Furniture,2011-07-09,12,21.20
Furniture,2011-07-11,20,20.90
Furniture,2011-07-12,18,21.07
Furniture,2011-07-13,4,19.87
Furniture,2011-07-14,10,19.60
Furniture,2011-07-16,20,19.67
Furniture,2011-07-18,10,19.87
Furniture,2011-07-19,7,18.57
Furniture,2011-07-20,25,18.37
Furniture,2011-07-21,29,18.37
Furniture,2011-07-22,9,18.03
Furniture,2011-07-25,8,17.13
Furniture,2011-07-26,29,17.27
Furniture,2011-07-27,11,16.63
Furniture,2011-07-28,17,16.70
Furniture,2011-07-29,16,15.27
Furniture,2011-07-30,8,15.23
Furniture,2011-07-31,4,14.63
Furniture,2011-08-01,20,14.50
Furniture,2011-08-02,21,15.13
Furniture,2011-08-03,39,15.13
Furniture,2011-08-04,32,15.20
Furniture,2011-08-05,25,15.57
Furniture,2011-08-06,1,15.10
Furniture,2011-08-07,2,14.70
Furniture,2011-08-08,30,15.60
Furniture,2011-08-09,14,15.63
Furniture,2011-08-10,9,15.57
Furniture,2011-08-11,13,15.63
Furniture,2011-08-12,16,15.97
Furniture,2011-08-13,11,15.93
Furniture,2011-08-15,26,16.13
Furniture,2011-08-16,31,16.57
Furniture,2011-08-17,32,17.50
Furniture,2011-08-18,11,17.53
Furniture,2011-08-19,39,18.17
Furniture,2011-08-20,27,18.73
Furniture,2011-08-21,16,19.03
Furniture,2011-08-23,21,18.90
Furniture,2011-08-24,16,18.47
Furniture,2011-08-25,39,19.47
Furniture,2011-08-26,19,19.83
Furniture,2011-08-27,17,19.43
Furniture,2011-08-29,17,19.63
Furniture,2011-08-30,18,19.67
Furniture,2011-08-31,21,19.83
Furniture,2011-09-01,6,19.77
Furniture,2011-09-02,61,21.67
Furniture,2011-09-03,3,21.10
Furniture,2011-09-05,17,20.97
Furniture,2011-09-06,32,20.73
Furniture,2011-09-07,20,20.33
Furniture,2011-09-08,60,21.50
Furniture,2011-09-09,48,23.07
Furniture,2011-09-10,20,23.67
Furniture,2011-09-11,3,22.77
Furniture,2011-09-12,36,23.50
Furniture,2011-09-13,20,23.87
Furniture,2011-09-14,38,24.70
Furniture,2011-09-15,48,25.77
Furniture,2011-09-16,15,25.90
Furniture,2011-09-17,11,25.40
Furniture,2011-09-18,3,24.47
Furniture,2011-09-19,24,24.20
Furniture,2011-09-20,33,24.93
Furniture,2011-09-21,36,24.83
Furniture,2011-09-22,18,24.53
Furniture,2011-09-23,30,25.00
Furniture,2011-09-24,13,24.73
Furniture,2011-09-25,17,24.77
Furniture,2011-09-26,17,24.03
Furniture,2011-09-27,31,24.43
Furniture,2011-09-28,31,24.90
Furniture,2011-09-29,36,25.53
Furniture,2011-09-30,36,26.13
Furniture,2011-10-03,21,26.13
Furniture,2011-10-04,32,27.00
Furniture,2011-10-05,10,25.30
Furniture,2011-10-06,48,26.80
Furniture,2011-10-07,29,27.20
Furniture,2011-10-08,12,26.53
Furniture,2011-10-10,20,26.53
Furniture,2011-10-11,21,25.23
Furniture,2011-10-12,13,24.07
Furniture,2011-10-13,19,24.03
Furniture,2011-10-14,19,24.57
Furniture,2011-10-15,15,23.87
Furniture,2011-10-17,30,24.20
Furniture,2011-10-18,36,24.13
Furniture,2011-10-19,29,23.50
Furniture,2011-10-20,32,24.07
Furniture,2011-10-21,33,24.80
Furniture,2011-10-22,37,25.93
Furniture,2011-10-25,21,25.83
Furniture,2011-10-26,21,25.43
Furniture,2011-10-27,46,25.77
Furniture,2011-10-28,20,25.83
Furniture,2011-10-29,12,25.23
Furniture,2011-10-31,36,26.00
Furniture,2011-11-01,25,26.27
Furniture,2011-11-02,36,26.90
Furniture,2011-11-03,57,27.77
Furniture,2011-11-04,54,28.53
Furniture,2011-11-05,24,28.13
Furniture,2011-11-06,2,27.00
Furniture,2011-11-07,50,27.97
Furniture,2011-11-08,17,27.47
Furniture,2011-11-09,31,28.17
Furniture,2011-11-10,24,27.37
Furniture,2011-11-11,35,27.57
Furniture,2011-11-12,15,27.67
Furniture,2011-11-14,21,27.70
Furniture,2011-11-15,24,27.80
Furniture,2011-11-16,21,28.07
Furniture,2011-11-17,25,28.27
Furniture,2011-11-18,76,30.17
Furniture,2011-11-19,11,30.03
Furniture,2011-11-21,9,29.33
Furniture,2011-11-22,12,28.53
Furniture,2011-11-23,39,28.87
Furniture,2011-11-24,38,29.07
Furniture,2011-11-25,46,29.50
Furniture,2011-11-26,11,28.63
Furniture,2011-11-27,5,28.10
Furniture,2011-11-28,35,28.57
Furniture,2011-11-29,13,27.47
Furniture,2011-11-30,15,27.30
Furniture,2011-12-01,58,28.83
Furniture,2011-12-02,41,29.00
Furniture,2011-12-03,13,28.60
Furniture,2011-12-04,1,27.43
Furniture,2011-12-05,13,25.97
Furniture,2011-12-06,31,25.20
Furniture,2011-12-07,36,25.60
Furniture,2011-12-08,63,27.63
Furniture,2011-12-09,41,27.33
Furniture,2011-12-10,23,27.53
Furniture,2011-12-11,1,26.53
Furniture,2011-12-12,48,27.33
Furniture,2011-12-13,47,27.73
Furniture,2011-12-14,22,27.97
Furniture,2011-12-15,50,28.93
Furniture,2011-12-16,51,29.83
Furniture,2011-12-17,23,29.90
Furniture,2011-12-19,34,30.20
Furniture,2011-12-20,60,29.67
Furniture,2011-12-21,44,30.77
Furniture,2011-12-22,13,30.90
Furniture,2011-12-23,37,31.73
Furniture,2011-12-24,29,31.40
Furniture,2011-12-25,2,30.20
Furniture,2011-12-26,57,30.57
Furniture,2011-12-27,45,31.70
Furniture,2011-12-28,39,32.83
Furniture,2011-12-29,49,33.30
Furniture,2011-12-30,10,33.20
Furniture,2011-12-31,40,34.03
Furniture,2012-01-02,16,32.63
Furniture,2012-01-03,22,32.00
Furniture,2012-01-04,19,32.20
Furniture,2012-01-05,15,32.67
Furniture,2012-01-07,13,32.67
Furniture,2012-01-08,9,31.93
Furniture,2012-01-09,14,31.20
Furniture,2012-01-10,14,29.57
Furniture,2012-01-11,27,29.10
Furniture,2012-01-12,21,29.03
Furniture,2012-01-13,25,29.83
Furniture,2012-01-14,2,28.30
Furniture,2012-01-16,16,27.27
Furniture,2012-01-17,11,26.90
Furniture,2012-01-18,20,25.90
Furniture,2012-01-19,23,24.97
Furniture,2012-01-20,13,24.63
Furniture,2012-01-21,4,23.63
Furniture,2012-01-22,4,21.77
Furniture,2012-01-23,10,20.63
Furniture,2012-01-24,5,20.37
Furniture,2012-01-25,9,19.43
Furniture,2012-01-26,9,18.77
Furniture,2012-01-27,30,19.70
Furniture,2012-01-28,21,18.50
Furniture,2012-01-29,8,17.27
Furniture,2012-01-30,13,16.40
Furniture,2012-01-31,3,14.87
Furniture,2012-02-01,4,14.67
Furniture,2012-02-02,16,13.87
Furniture,2012-02-03,10,13.67
Furniture,2012-02-04,13,13.37
Furniture,2012-02-06,29,13.70
Furniture,2012-02-07,14,13.67
Furniture,2012-02-08,4,13.37
Furniture,2012-02-09,7,13.30
Furniture,2012-02-10,14,13.30
Furniture,2012-02-13,28,13.77
Furniture,2012-02-14,9,13.17
Furniture,2012-02-15,6,12.67
Furniture,2012-02-16,8,12.10
Furniture,2012-02-17,1,12.07
Furniture,2012-02-18,13,11.97
Furniture,2012-02-19,4,11.73
Furniture,2012-02-20,29,12.03
Furniture,2012-02-21,10,11.60
Furniture,2012-02-22,21,11.87
Furniture,2012-02-23,5,11.90
Furniture,2012-02-24,2,11.83
Furniture,2012-02-25,10,11.83
Furniture,2012-02-27,17,12.23
Furniture,2012-02-28,13,12.37
Furniture,2012-02-29,3,12.17
Furniture,2012-03-01,18,11.77
Furniture,2012-03-02,21,11.77
Furniture,2012-03-03,5,11.67
Furniture,2012-03-05,29,12.20
Furniture,2012-03-06,14,12.57
Furniture,2012-03-07,14,12.90
Furniture,2012-03-08,27,13.27
Furniture,2012-03-09,15,13.43
Furniture,2012-03-10,3,13.10
Furniture,2012-03-11,4,12.27
Furniture,2012-03-12,25,12.63
Furniture,2012-03-13,22,13.23
Furniture,2012-03-14,10,13.33
Furniture,2012-03-15,6,13.07
Furniture,2012-03-16,27,13.03
Furniture,2012-03-17,2,12.80
Furniture,2012-03-19,36,13.80
Furniture,2012-03-20,29,14.50
Furniture,2012-03-21,15,14.97
Furniture,2012-03-22,25,15.37
Furniture,2012-03-23,10,15.57
Furniture,2012-03-24,10,14.93
Furniture,2012-03-26,18,15.20
Furniture,2012-03-27,30,15.50
Furniture,2012-03-28,7,15.57
Furniture,2012-03-29,23,16.27
Furniture,2012-03-30,4,16.07
Furniture,2012-03-31,8,15.77
Furniture,2012-04-02,4,15.47
Furniture,2012-04-03,15,15.87
Furniture,2012-04-04,2,15.33
Furniture,2012-04-05,15,15.13
Furniture,2012-04-06,27,15.87
Furniture,2012-04-07,3,15.00
Furniture,2012-04-09,18,15.13
Furniture,2012-04-10,14,15.13
Furniture,2012-04-11,19,14.87
Furniture,2012-04-12,8,14.63
Furniture,2012-04-13,17,15.10
Furniture,2012-04-14,17,15.53
Furniture,2012-04-16,36,15.90
Furniture,2012-04-17,4,15.30
Furniture,2012-04-18,18,15.57
Furniture,2012-04-19,18,15.97
Furniture,2012-04-20,20,15.73
Furniture,2012-04-21,9,15.97
Furniture,2012-04-22,6,14.97
Furniture,2012-04-23,3,14.10
Furniture,2012-04-24,28,14.53
Furniture,2012-04-25,42,15.10
Furniture,2012-04-26,30,15.77
Furniture,2012-04-27,4,15.57
Furniture,2012-04-28,13,15.40
Furniture,2012-04-30,32,15.47
Furniture,2012-05-01,13,15.67
Furniture,2012-05-02,4,15.03
Furniture,2012-05-03,25,15.73
Furniture,2012-05-04,13,15.90
Furniture,2012-05-05,5,15.93
Furniture,2012-05-07,24,16.23
Furniture,2012-05-08,37,17.40
Furniture,2012-05-09,24,17.70
Furniture,2012-05-10,20,17.47
Furniture,2012-05-11,20,18.03
Furniture,2012-05-12,13,17.87
Furniture,2012-05-14,26,18.27
Furniture,2012-05-15,30,18.63
Furniture,2012-05-16,20,19.03
Furniture,2012-05-17,14,18.93
Furniture,2012-05-18,9,18.67
Furniture,2012-05-20,4,17.60
Furniture,2012-05-21,15,17.97
Furniture,2012-05-22,9,17.67
Furniture,2012-05-23,30,18.07
Furniture,2012-05-24,22,18.13
Furniture,2012-05-25,18,18.43
Furniture,2012-05-26,18,18.83
Furniture,2012-05-28,19,19.37
Furniture,2012-05-29,11,18.80
Furniture,2012-05-30,4,17.53
Furniture,2012-05-31,41,17.90
Furniture,2012-06-01,39,19.07
Furniture,2012-06-02,21,19.33
Furniture,2012-06-03,4,18.40
Furniture,2012-06-04,15,18.47
Furniture,2012-06-05,19,18.97
Furniture,2012-06-06,44,19.60
Furniture,2012-06-07,18,19.77
Furniture,2012-06-08,41,20.97
Furniture,2012-06-09,16,20.70
Furniture,2012-06-10,8,19.73
Furniture,2012-06-11,39,20.23
Furniture,2012-06-12,28,20.50
Furniture,2012-06-13,18,20.43
Furniture,2012-06-14,22,20.73
Furniture,2012-06-15,17,20.43
Furniture,2012-06-16,21,20.13
Furniture,2012-06-17,3,19.57
Furniture,2012-06-18,39,20.40
Furniture,2012-06-19,27,21.00
Furniture,2012-06-20,51,22.57
Furniture,2012-06-21,27,22.97
Furniture,2012-06-22,27,23.57
Furniture,2012-06-23,10,22.90
Furniture,2012-06-24,2,22.23
Furniture,2012-06-25,53,23.40
Furniture,2012-06-26,15,23.30
Furniture,2012-06-27,20,23.33
Furniture,2012-06-28,14,23.43
Furniture,2012-06-29,46,24.83
Furniture,2012-06-30,14,23.93
Furniture,2012-07-01,7,22.87
Furniture,2012-07-02,22,22.90
Furniture,2012-07-03,34,23.90
Furniture,2012-07-04,5,23.57
Furniture,2012-07-05,14,23.40
Furniture,2012-07-06,40,23.27
Furniture,2012-07-07,9,22.97
Furniture,2012-07-09,12,22.00
Furniture,2012-07-10,9,21.77
Furniture,2012-07-11,45,23.00
Furniture,2012-07-12,22,22.43
Furniture,2012-07-13,15,22.00
Furniture,2012-07-14,16,21.93
Furniture,2012-07-16,17,21.77
Furniture,2012-07-17,19,21.83
Furniture,2012-07-18,15,21.63
Furniture,2012-07-19,7,21.77
Furniture,2012-07-20,18,21.07
Furniture,2012-07-21,2,20.23
Furniture,2012-07-23,4,18.67
Furniture,2012-07-24,11,18.13
Furniture,2012-07-25,13,17.67
Furniture,2012-07-26,27,18.23
Furniture,2012-07-27,12,18.57
Furniture,2012-07-28,1,16.83
Furniture,2012-07-30,34,17.47
Furniture,2012-07-31,36,18.00
Furniture,2012-08-01,16,18.07
Furniture,2012-08-02,55,18.37
Furniture,2012-08-03,45,19.40
Furniture,2012-08-04,1,19.20
Furniture,2012-08-05,8,18.73
Furniture,2012-08-06,20,18.27
Furniture,2012-08-07,30,19.10
Furniture,2012-08-08,12,19.03
Furniture,2012-08-09,38,18.97
Furniture,2012-08-10,18,19.27
Furniture,2012-08-11,18,19.47
Furniture,2012-08-13,25,20.00
Furniture,2012-08-14,9,18.80
Furniture,2012-08-15,19,18.70
Furniture,2012-08-16,23,18.97
Furniture,2012-08-17,38,19.70
Furniture,2012-08-18,8,19.40
Furniture,2012-08-20,15,19.27
Furniture,2012-08-21,17,19.33
Furniture,2012-08-22,29,20.07
Furniture,2012-08-23,35,20.63
Furniture,2012-08-24,34,21.70
Furniture,2012-08-25,8,21.83
Furniture,2012-08-26,9,21.77
Furniture,2012-08-27,25,22.17
Furniture,2012-08-28,30,22.27
Furniture,2012-08-29,23,22.63
Furniture,2012-08-30,10,22.93
Furniture,2012-08-31,29,22.77
Furniture,2012-09-01,18,22.17
Furniture,2012-09-02,2,21.70
Furniture,2012-09-03,30,20.87
Furniture,2012-09-04,20,20.03
Furniture,2012-09-05,35,21.17
Furniture,2012-09-06,56,22.77
Furniture,2012-09-07,34,23.23
Furniture,2012-09-08,13,22.67
Furniture,2012-09-09,12,22.67
Furniture,2012-09-10,37,22.63
Furniture,2012-09-11,30,23.03
Furniture,2012-09-12,25,23.27
Furniture,2012-09-13,57,24.33
Furniture,2012-09-14,31,25.07
Furniture,2012-09-15,43,25.87
Furniture,2012-09-16,2,25.17
Furniture,2012-09-17,31,24.93
Furniture,2012-09-18,30,25.67
Furniture,2012-09-19,36,26.37
Furniture,2012-09-20,25,26.63
Furniture,2012-09-21,38,26.93
Furniture,2012-09-22,13,26.20
Furniture,2012-09-24,32,26.13
Furniture,2012-09-25,39,27.17
Furniture,2012-09-26,51,28.57
Furniture,2012-09-27,23,28.50
Furniture,2012-09-28,39,28.80
Furniture,2012-09-29,1,28.07
Furniture,2012-10-01,29,28.70
Furniture,2012-10-02,34,28.87
Furniture,2012-10-03,29,29.23
Furniture,2012-10-04,21,29.87
Furniture,2012-10-05,16,29.40
Furniture,2012-10-06,7,28.97
Furniture,2012-10-08,25,28.63
Furniture,2012-10-09,12,27.17
Furniture,2012-10-10,29,27.00
Furniture,2012-10-11,30,27.57
Furniture,2012-10-12,20,27.83
Furniture,2012-10-13,12,27.00
Furniture,2012-10-14,2,26.07
Furniture,2012-10-15,70,27.57
Furniture,2012-10-16,7,25.90
Furniture,2012-10-17,28,25.80
Furniture,2012-10-18,7,24.60
Furniture,2012-10-19,25,25.37
Furniture,2012-10-20,32,25.40
Furniture,2012-10-22,26,25.27
Furniture,2012-10-23,33,25.17
Furniture,2012-10-24,38,25.60
Furniture,2012-10-25,36,25.53
Furniture,2012-10-26,6,25.30
Furniture,2012-10-27,16,24.77
Furniture,2012-10-28,13,23.90
Furniture,2012-10-29,25,23.03
Furniture,2012-10-30,14,22.73
Furniture,2012-10-31,15,21.93
Furniture,2012-11-01,25,22.73
Furniture,2012-11-02,82,24.50
Furniture,2012-11-03,20,24.03
Furniture,2012-11-04,10,23.40
Furniture,2012-11-05,56,24.57
Furniture,2012-11-06,9,24.33
Furniture,2012-11-07,41,25.47
Furniture,2012-11-08,68,26.90
Furniture,2012-11-09,27,27.40
Furniture,2012-11-10,20,27.10
Furniture,2012-11-11,1,26.13
Furniture,2012-11-12,51,27.17
Furniture,2012-11-13,97,30.00
Furniture,2012-11-14,49,31.57
Furniture,2012-11-15,29,30.20
Furniture,2012-11-16,70,32.30
Furniture,2012-11-17,36,32.57
Furniture,2012-11-18,6,32.53
Furniture,2012-11-19,30,32.70
Furniture,2012-11-20,56,33.50
Furniture,2012-11-21,54,34.43
Furniture,2012-11-22,26,34.20
Furniture,2012-11-23,40,34.27
Furniture,2012-11-24,19,33.70
Furniture,2012-11-25,2,33.57
Furniture,2012-11-26,31,34.07
Furniture,2012-11-27,48,35.23
Furniture,2012-11-28,53,36.17
Furniture,2012-11-29,37,36.93
Furniture,2012-11-30,45,37.93
Furniture,2012-12-01,36,38.30
Furniture,2012-12-02,3,35.67
Furniture,2012-12-03,57,36.90
Furniture,2012-12-04,41,37.93
Furniture,2012-12-05,31,37.10
Furniture,2012-12-06,13,37.23
Furniture,2012-12-07,16,36.40
Furniture,2012-12-08,2,34.20
Furniture,2012-12-09,4,33.43
Furniture,2012-12-10,20,33.43
Furniture,2012-12-11,55,35.23
Furniture,2012-12-12,20,34.20
Furniture,2012-12-13,9,31.27
Furniture,2012-12-14,31,30.67
Furniture,2012-12-15,17,30.27
Furniture,2012-12-16,4,28.07
Furniture,2012-12-17,52,28.60
Furniture,2012-12-18,26,29.27
Furniture,2012-12-19,31,29.30
Furniture,2012-12-20,27,28.33
Furniture,2012-12-21,33,27.63
Furniture,2012-12-22,25,27.60
Furniture,2012-12-23,2,26.33
Furniture,2012-12-24,42,27.10
Furniture,2012-12-25,71,29.40
Furniture,2012-12-26,43,29.80
Furniture,2012-12-27,31,29.23
Furniture,2012-12-28,32,28.53
Furniture,2012-12-30,3,27.40
Furniture,2012-12-31,20,26.57
Furniture,2013-01-01,24,26.17
Furniture,2013-01-02,22,26.80
Furniture,2013-01-03,14,25.37
Furniture,2013-01-04,29,24.97
Furniture,2013-01-05,23,24.70
Furniture,2013-01-07,24,25.07
Furniture,2013-01-08,20,25.20
Furniture,2013-01-09,13,25.57
Furniture,2013-01-10,16,25.97
Furniture,2013-01-11,37,26.53
Furniture,2013-01-12,15,25.20
Furniture,2013-01-14,12,24.93
Furniture,2013-01-15,11,25.00
Furniture,2013-01-16,19,24.60
Furniture,2013-01-17,16,24.57
Furniture,2013-01-18,29,25.40
Furniture,2013-01-19,13,24.10
Furniture,2013-01-20,7,23.47
Furniture,2013-01-21,29,23.40
Furniture,2013-01-22,33,23.60
Furniture,2013-01-23,23,23.27
Furniture,2013-01-24,2,22.50
Furniture,2013-01-25,28,23.37
Furniture,2013-01-26,3,22.07
Furniture,2013-01-27,4,19.83
Furniture,2013-01-28,16,18.93
Furniture,2013-01-29,20,18.57
Furniture,2013-01-30,29,18.47
Furniture,2013-01-31,13,18.80
Furniture,2013-02-01,22,18.87
Furniture,2013-02-02,10,18.40
Furniture,2013-02-03,4,17.80
Furniture,2013-02-04,11,17.70
Furniture,2013-02-05,41,18.10
Furniture,2013-02-06,24,18.13
Furniture,2013-02-07,29,18.30
Furniture,2013-02-08,26,18.50
Furniture,2013-02-09,10,18.40
Furniture,2013-02-10,6,18.07
Furniture,2013-02-11,15,17.33
Furniture,2013-02-12,25,17.67
Furniture,2013-02-13,6,17.47
Furniture,2013-02-14,9,17.40
Furniture,2013-02-15,17,17.33
Furniture,2013-02-16,25,17.63
Furniture,2013-02-18,21,17.37
Furniture,2013-02-19,22,17.67
Furniture,2013-02-20,20,18.10
Furniture,2013-02-21,17,17.70
Furniture,2013-02-22,20,17.27
Furniture,2013-02-23,2,16.57
Furniture,2013-02-25,23,17.27
Furniture,2013-02-26,27,17.23
Furniture,2013-02-27,16,17.67
Furniture,2013-02-28,5,17.70
Furniture,2013-03-01,17,17.73
Furniture,2013-03-02,12,17.47
Furniture,2013-03-03,8,16.77
Furniture,2013-03-04,45,17.83
Furniture,2013-03-05,34,18.23
Furniture,2013-03-06,8,18.17
Furniture,2013-03-07,15,18.53
Furniture,2013-03-08,18,18.77
Furniture,2013-03-09,12,17.80
Furniture,2013-03-10,5,17.17
Furniture,2013-03-11,37,17.43
Furniture,2013-03-12,25,17.40
Furniture,2013-03-13,35,18.23
Furniture,2013-03-14,13,18.47
Furniture,2013-03-15,35,19.13
Furniture,2013-03-16,19,18.93
Furniture,2013-03-18,15,19.23
Furniture,2013-03-19,18,19.53
Furniture,2013-03-20,17,19.53
Furniture,2013-03-21,23,19.47
Furniture,2013-03-22,11,19.13
Furniture,2013-03-23,33,19.50
Furniture,2013-03-25,18,19.43
Furniture,2013-03-26,20,19.53
Furniture,2013-03-27,13,19.30
Furniture,2013-03-28,13,19.67
Furniture,2013-03-29,41,20.27
Furniture,2013-03-30,22,20.10
Furniture,2013-04-01,21,20.27
Furniture,2013-04-02,28,21.03
Furniture,2013-04-03,26,21.33
Furniture,2013-04-04,8,21.20
Furniture,2013-04-05,22,21.67
Furniture,2013-04-06,22,20.90
Furniture,2013-04-07,1,19.80
Furniture,2013-04-08,37,20.77
Furniture,2013-04-09,33,21.37
Furniture,2013-04-10,46,22.30
Furniture,2013-04-11,2,21.97
Furniture,2013-04-12,14,22.27
Furniture,2013-04-13,14,21.50
Furniture,2013-04-15,15,21.17
Furniture,2013-04-16,7,20.23
Furniture,2013-04-17,17,20.37
Furniture,2013-04-18,34,20.33
Furniture,2013-04-19,30,20.70
Furniture,2013-04-20,7,20.43
Furniture,2013-04-22,8,20.10
Furniture,2013-04-23,18,20.13
Furniture,2013-04-24,15,19.87
Furniture,2013-04-25,41,20.87
Furniture,2013-04-26,17,20.33
Furniture,2013-04-27,6,19.93
Furniture,2013-04-29,20,19.93
Furniture,2013-04-30,20,20.17
Furniture,2013-05-01,36,20.93
Furniture,2013-05-02,12,19.97
Furniture,2013-05-03,32,20.30
Furniture,2013-05-04,25,20.43
Furniture,2013-05-06,20,20.17
Furniture,2013-05-07,40,20.63
Furniture,2013-05-08,40,21.70
Furniture,2013-05-09,14,21.43
Furniture,2013-05-10,28,21.63
Furniture,2013-05-11,19,22.23
Furniture,2013-05-13,17,21.57
